policy,kshape,ls,amp,weeks,gain
random,ard,0.1,0.5,1,0.00024422314232488014
observable_EI,ard,0.1,0.5,1,0.0
P_beat,ard,0.1,0.5,1,0.0
LCB,ard,0.1,0.5,1,0.0
latent_EI,ard,0.1,0.5,1,0.0
thompson,ard,0.1,0.5,1,0.0
exploit,ard,0.1,0.5,1,0.0
maximin,ard,0.1,0.5,1,0.0
random,ard,0.1,0.5,1,0.0
observable_EI,ard,0.1,0.5,1,0.0
P_beat,ard,0.1,0.5,1,0.0
LCB,ard,0.1,0.5,1,0.0
latent_EI,ard,0.1,0.5,1,0.0
thompson,ard,0.1,0.5,1,0.0
exploit,ard,0.1,0.5,1,0.0
maximin,ard,0.1,0.5,1,0.0
random,ard,0.1,0.5,1,0.0
observable_EI,ard,0.1,1.0,1,0.0
P_beat,ard,0.1,1.0,1,0.0
LCB,ard,0.1,1.0,1,0.0
latent_EI,ard,0.1,1.0,1,0.0
thompson,ard,0.1,1.0,1,0.0
exploit,ard,0.1,1.0,1,0.0
maximin,ard,0.1,1.0,1,0.0
random,ard,0.1,1.0,1,0.0
observable_EI,ard,0.1,1.0,1,0.0
P_beat,ard,0.1,1.0,1,0.0
LCB,ard,0.1,1.0,1,0.0
latent_EI,ard,0.1,1.0,1,0.0
thompson,ard,0.1,1.0,1,0.0
exploit,ard,0.1,1.0,1,0.0
maximin,ard,0.1,1.0,1,0.0
random,ard,0.1,1.0,1,0.0
observable_EI,ard,0.1,1.0,1,0.0
P_beat,ard,0.1,1.0,1,0.0
LCB,ard,0.1,1.0,1,0.0
latent_EI,ard,0.1,1.0,1,0.0
thompson,ard,0.1,1.0,1,0.0
exploit,ard,0.1,1.0,1,0.0
maximin,ard,0.1,1.0,1,0.0
random,ard,0.1,1.0,1,0.0
observable_EI,ard,0.1,2.0,1,0.0
P_beat,ard,0.1,2.0,1,0.0
LCB,ard,0.1,2.0,1,0.0
latent_EI,ard,0.1,2.0,1,0.0
thompson,ard,0.1,2.0,1,0.0
exploit,ard,0.1,2.0,1,0.0
maximin,ard,0.1,2.0,1,0.0
random,ard,0.1,2.0,1,0.0
observable_EI,ard,0.1,2.0,1,0.0
P_beat,ard,0.1,2.0,1,0.0
LCB,ard,0.1,2.0,1,0.0
latent_EI,ard,0.1,2.0,1,0.0
thompson,ard,0.1,2.0,1,0.0
exploit,ard,0.1,2.0,1,0.0
maximin,ard,0.1,2.0,1,0.0
random,ard,0.1,2.0,1,0.00036666402646500233
observable_EI,ard,0.1,2.0,1,0.0
P_beat,ard,0.1,2.0,1,0.0
LCB,ard,0.1,2.0,1,0.0
latent_EI,ard,0.1,2.0,1,0.0
thompson,ard,0.1,2.0,1,0.0
exploit,ard,0.1,2.0,1,0.0
maximin,ard,0.1,2.0,1,0.0
random,ard,0.1,2.0,1,0.0
observable_EI,ard,0.15,0.5,1,0.0
P_beat,ard,0.15,0.5,1,0.0
LCB,ard,0.15,0.5,1,0.0
latent_EI,ard,0.15,0.5,1,0.0
thompson,ard,0.15,0.5,1,0.0
exploit,ard,0.15,0.5,1,0.0
maximin,ard,0.15,0.5,1,0.0
random,ard,0.15,0.5,1,0.0
observable_EI,ard,0.15,0.5,1,0.0
P_beat,ard,0.15,0.5,1,0.0
LCB,ard,0.15,0.5,1,0.0
latent_EI,ard,0.15,0.5,1,0.0
thompson,ard,0.15,0.5,1,0.0
exploit,ard,0.15,0.5,1,0.0
maximin,ard,0.15,0.5,1,0.0
random,ard,0.15,0.5,1,0.0
observable_EI,ard,0.15,0.5,1,0.0
P_beat,ard,0.15,0.5,1,0.0
LCB,ard,0.15,0.5,1,0.0
latent_EI,ard,0.15,0.5,1,0.0
thompson,ard,0.15,0.5,1,0.0
exploit,ard,0.15,0.5,1,0.0
maximin,ard,0.15,0.5,1,0.0
random,ard,0.15,0.5,1,0.0
observable_EI,ard,0.15,1.0,1,0.0
P_beat,ard,0.15,1.0,1,0.0
LCB,ard,0.15,1.0,1,3.738561937321176e-05
latent_EI,ard,0.15,1.0,1,7.169500130337601e-06
thompson,ard,0.15,1.0,1,0.0
exploit,ard,0.15,1.0,1,0.0
maximin,ard,0.15,1.0,1,0.0
random,ard,0.15,1.0,1,0.0
observable_EI,ard,0.15,1.0,1,0.0
P_beat,ard,0.15,1.0,1,0.00011186536427550576
LCB,ard,0.15,1.0,1,0.0002757551813022463
latent_EI,ard,0.15,1.0,1,0.00016652013523113705
thompson,ard,0.15,1.0,1,0.0
exploit,ard,0.15,1.0,1,0.0
maximin,ard,0.15,1.0,1,0.0
random,ard,0.15,1.0,1,0.0
observable_EI,ard,0.15,1.0,1,0.0
P_beat,ard,0.15,1.0,1,0.0
LCB,ard,0.15,1.0,1,0.0
latent_EI,ard,0.15,1.0,1,0.0
thompson,ard,0.15,1.0,1,0.0
exploit,ard,0.15,1.0,1,0.0
maximin,ard,0.15,1.0,1,0.0
random,ard,0.15,1.0,1,0.0
observable_EI,ard,0.15,2.0,1,0.00026548274810437824
P_beat,ard,0.15,2.0,1,0.0
LCB,ard,0.15,2.0,1,0.00022926982218304963
latent_EI,ard,0.15,2.0,1,0.0002576046252152548
thompson,ard,0.15,2.0,1,0.0
exploit,ard,0.15,2.0,1,0.0
maximin,ard,0.15,2.0,1,0.0
random,ard,0.15,2.0,1,0.0003529063864184898
observable_EI,ard,0.15,2.0,1,0.0
P_beat,ard,0.15,2.0,1,0.00034227155074049894
LCB,ard,0.15,2.0,1,4.6371377195305935e-06
latent_EI,ard,0.15,2.0,1,6.162561640099713e-05
thompson,ard,0.15,2.0,1,0.0
exploit,ard,0.15,2.0,1,0.0
maximin,ard,0.15,2.0,1,0.0
random,ard,0.15,2.0,1,0.0
observable_EI,ard,0.15,2.0,1,0.0
P_beat,ard,0.15,2.0,1,0.0
LCB,ard,0.15,2.0,1,0.0
latent_EI,ard,0.15,2.0,1,0.0
thompson,ard,0.15,2.0,1,0.0
exploit,ard,0.15,2.0,1,0.0
maximin,ard,0.15,2.0,1,0.0
random,ard,0.15,2.0,1,0.0
observable_EI,ard,0.25,0.5,1,0.0
P_beat,ard,0.25,0.5,1,0.0
LCB,ard,0.25,0.5,1,0.0
latent_EI,ard,0.25,0.5,1,0.0
thompson,ard,0.25,0.5,1,0.0
exploit,ard,0.25,0.5,1,0.0
maximin,ard,0.25,0.5,1,0.0
random,ard,0.25,0.5,1,0.0
observable_EI,ard,0.25,0.5,1,0.0
P_beat,ard,0.25,0.5,1,0.0
LCB,ard,0.25,0.5,1,0.0
latent_EI,ard,0.25,0.5,1,0.0
thompson,ard,0.25,0.5,1,0.0
exploit,ard,0.25,0.5,1,0.0
maximin,ard,0.25,0.5,1,0.0
random,ard,0.25,0.5,1,0.0
observable_EI,ard,0.25,0.5,1,0.0
P_beat,ard,0.25,0.5,1,0.0
LCB,ard,0.25,0.5,1,0.0
latent_EI,ard,0.25,0.5,1,0.0
thompson,ard,0.25,0.5,1,0.0
exploit,ard,0.25,0.5,1,0.0
maximin,ard,0.25,0.5,1,0.0
random,ard,0.25,0.5,1,0.0
observable_EI,ard,0.25,1.0,1,0.0
P_beat,ard,0.25,1.0,1,0.0
LCB,ard,0.25,1.0,1,0.0
latent_EI,ard,0.25,1.0,1,0.0
thompson,ard,0.25,1.0,1,0.0
exploit,ard,0.25,1.0,1,0.0
maximin,ard,0.25,1.0,1,0.0
random,ard,0.25,1.0,1,0.0
observable_EI,ard,0.25,1.0,1,0.0
P_beat,ard,0.25,1.0,1,0.0
LCB,ard,0.25,1.0,1,0.0
latent_EI,ard,0.25,1.0,1,0.0
thompson,ard,0.25,1.0,1,0.0
exploit,ard,0.25,1.0,1,0.0
maximin,ard,0.25,1.0,1,0.0
random,ard,0.25,1.0,1,0.0
observable_EI,ard,0.25,1.0,1,0.0
P_beat,ard,0.25,1.0,1,0.0
LCB,ard,0.25,1.0,1,0.0
latent_EI,ard,0.25,1.0,1,0.0
thompson,ard,0.25,1.0,1,0.0
